idcliente,datavenda,total
208,"2018-03-12 00:00:00",1002.00
1972,"2018-03-15 00:00:00",1025.00
899,"2018-01-30 00:00:00",1031.00
1467,"2018-03-08 00:00:00",1031.00
1038,"2018-03-08 00:00:00",1044.00
1791,"2018-01-22 00:00:00",1066.00
953,"2018-01-02 00:00:00",1073.00
1433,"2018-02-03 00:00:00",1079.00
1191,"2018-02-26 00:00:00",1150.00
1527,"2018-02-04 00:00:00",1178.00
575,"2018-01-21 00:00:00",1185.00
37,"2018-01-02 00:00:00",1212.00
751,"2018-03-04 00:00:00",1222.00
132,"2018-02-24 00:00:00",1228.00
539,"2018-02-26 00:00:00",1231.00
960,"2018-03-17 00:00:00",1238.00
72,"2018-03-12 00:00:00",1243.00
1688,"2018-03-02 00:00:00",1252.00
702,"2018-02-02 00:00:00",1256.00
1406,"2018-03-17 00:00:00",1259.00
720,"2018-01-22 00:00:00",1281.00
909,"2018-03-17 00:00:00",1313.00
1125,"2018-01-28 00:00:00",1315.00
1154,"2018-02-09 00:00:00",1342.00
1891,"2018-03-03 00:00:00",1356.00
1131,"2018-01-20 00:00:00",1357.00
162,"2018-02-05 00:00:00",1363.00
1512,"2018-01-05 00:00:00",1364.00
1269,"2018-03-10 00:00:00",1384.00
1934,"2018-03-22 00:00:00",1431.00
805,"2018-03-05 00:00:00",1458.00
1847,"2018-02-11 00:00:00",1481.00
465,"2018-01-05 00:00:00",1517.00
1776,"2018-03-10 00:00:00",1570.00
290,"2018-01-30 00:00:00",1585.00
476,"2018-01-12 00:00:00",1591.00
1227,"2018-03-01 00:00:00",1598.00
1977,"2018-01-27 00:00:00",1635.00
696,"2018-03-19 00:00:00",1669.00
1740,"2018-03-12 00:00:00",1678.00
1586,"2018-01-20 00:00:00",1712.00
1703,"2018-01-22 00:00:00",1740.00
1649,"2018-01-27 00:00:00",1740.00
574,"2018-02-16 00:00:00",1744.00
1152,"2018-01-14 00:00:00",1747.00
715,"2018-02-12 00:00:00",1750.00
679,"2018-03-11 00:00:00",1792.00
1920,"2018-02-27 00:00:00",1817.00
1060,"2018-01-28 00:00:00",1819.00
1133,"2018-01-06 00:00:00",1850.00
1072,"2018-01-21 00:00:00",1854.00
899,"2018-02-20 00:00:00",1874.00
88,"2018-03-10 00:00:00",1877.00
217,"2018-01-21 00:00:00",1898.00
1345,"2018-02-09 00:00:00",1917.00
253,"2018-01-13 00:00:00",1922.00
1018,"2018-03-19 00:00:00",1933.00
619,"2018-01-13 00:00:00",1945.00
1786,"2018-03-12 00:00:00",1966.00
361,"2018-01-08 00:00:00",2042.00
133,"2018-01-30 00:00:00",2070.00
849,"2018-02-04 00:00:00",2099.00
1170,"2018-01-12 00:00:00",2139.00
594,"2018-02-13 00:00:00",2144.00
675,"2018-01-19 00:00:00",2202.00
768,"2018-01-09 00:00:00",2266.00
1959,"2018-02-03 00:00:00",2310.00
1669,"2018-02-05 00:00:00",2322.00
1242,"2018-01-19 00:00:00",2326.00
1914,"2018-03-01 00:00:00",2331.00
2032,"2018-02-02 00:00:00",2334.00
411,"2018-03-02 00:00:00",2334.00
1550,"2018-01-08 00:00:00",2354.00
831,"2018-01-09 00:00:00",2403.00
1120,"2018-01-27 00:00:00",2477.00
711,"2018-02-13 00:00:00",2489.00
563,"2018-03-12 00:00:00",2490.00
1954,"2018-01-22 00:00:00",2509.00
1979,"2018-03-17 00:00:00",2531.00
951,"2018-02-26 00:00:00",2569.00
603,"2018-01-13 00:00:00",2595.00
1864,"2018-03-02 00:00:00",2601.00
485,"2018-03-04 00:00:00",2691.00
27,"2018-01-21 00:00:00",2740.00
1599,"2018-02-09 00:00:00",2750.00
940,"2018-01-20 00:00:00",2783.00
1921,"2018-03-22 00:00:00",2851.00
1876,"2018-03-04 00:00:00",2907.00
1251,"2018-02-16 00:00:00",2961.00
1737,"2018-01-30 00:00:00",2999.00
800,"2018-03-10 00:00:00",3015.00
1560,"2018-01-29 00:00:00",3039.00
323,"2018-01-14 00:00:00",3084.00
298,"2018-03-04 00:00:00",3144.00
1664,"2018-01-16 00:00:00",3175.00
823,"2018-03-17 00:00:00",3176.00
1366,"2018-01-21 00:00:00",3210.00
451,"2018-01-19 00:00:00",3218.00
746,"2018-03-17 00:00:00",3233.00
174,"2018-02-27 00:00:00",3256.00
1252,"2018-02-13 00:00:00",3467.00
661,"2018-02-16 00:00:00",3723.00
490,"2018-03-01 00:00:00",3807.00
247,"2018-03-17 00:00:00",3961.00
119,"2018-01-08 00:00:00",4000.00
1247,"2018-02-25 00:00:00",4124.00
1743,"2018-03-02 00:00:00",4181.00
1580,"2018-01-02 00:00:00",4200.00
867,"2018-02-12 00:00:00",4271.00
265,"2018-01-14 00:00:00",4349.00
131,"2018-01-09 00:00:00",4377.00
368,"2018-01-06 00:00:00",4719.00
866,"2018-02-16 00:00:00",4806.00
1425,"2018-01-06 00:00:00",4830.00
1030,"2018-01-16 00:00:00",4963.00
1099,"2018-01-29 00:00:00",5115.00
107,"2018-02-16 00:00:00",5226.00
81,"2018-03-15 00:00:00",5297.00
824,"2018-03-15 00:00:00",5791.00
593,"2018-02-09 00:00:00",5813.00
743,"2018-01-15 00:00:00",6046.00
1643,"2018-01-07 00:00:00",6230.00
1302,"2018-03-09 00:00:00",6387.00
688,"2018-01-16 00:00:00",6630.00
1134,"2018-03-19 00:00:00",12118.00
796,"2018-03-12 00:00:00",12507.00
